Tên	Diện tích	Mức giá	Hướng nhà	Số phòng ngủ	Số toilet	Pháp lý	lat	lon	Địa chỉ	Quận	Thành phố
Nhà mặt phố tại phố Lò Đúc	90 m²	31 tỷ		4 phòng	2 phòng	Sổ đỏ/ Sổ hồng	21.018134	105.855273	Phố Lò Đúc, Phường Đống Mác, Hai Bà Trưng, Hà Nội	Hai Bà Trưng	Hà Nội
Bán đất tại phường Phúc Lợi	56 m²	3,1 tỷ							Phường Phúc Lợi, Long Biên, Hà Nội	Long Biên	Hà Nội
Nhà riêng tại đường Tố Hữu	45 m²	3,4 tỷ		5 phòng	3 phòng	Sổ đỏ/ Sổ hồng	20.9835697	105.7722596	Đường Tố Hữu, Phường Yên Nghĩa, Hà Đông, Hà Nội	Hà Đông	Hà Nội
Nhà riêng tại đường Lê Đức Thọ	105 m²	Thỏa thuận	Đông			Sổ Đỏ vuông đẹp	21.0306511	105.769254	Đường Lê Đức Thọ, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội	Nam Từ Liêm	Hà Nội
Nhà riêng tại phố Hoàng Cầu	80 m²	25,5 tỷ		4 phòng		Sổ đỏ/ Sổ hồng	21.0164891	105.8227091	Phố Hoàng Cầu, Phường Ô Chợ Dừa, Đống Đa, Hà Nội	Đống Đa	Hà Nội
Nhà riêng tại phố Lương Định Của	35 m²	5,6 tỷ		3 phòng	3 phòng	Sổ đỏ/ Sổ hồng	21.0051976	105.8355164	Phố Lương Định Của, Phường Phương Liên, Đống Đa, Hà Nội	Đống Đa	Hà Nội
Căn hộ chung cư tại Tecco Garden	127 m²	3,4 tỷ	Đông - Bắc	4 phòng	3 phòng	Sổ đỏ/ Sổ hồng	20.9464588165283	105.855781555176	Dự án Tecco Garden, đường Tứ Hiệp, Xã Tứ Hiệp, Thanh Trì, Hà Nội	Thanh Trì	Hà Nội
Nhà biệt thự, liền kề tại đường Đại lộ Chu Văn An	100 m²	19 tỷ		6 phòng	6 phòng	Sổ đỏ/ Sổ hồng.	20.9749989426765	105.823630009708	Đường Đại lộ Chu Văn An, Phường Đại Kim, Hoàng Mai, Hà Nội	Hoàng Mai	Hà Nội
Nhà riêng tại phường Minh Khai	31 m²	3,69 tỷ		4 phòng	4 phòng	Sổ đỏ/ Sổ hồng	20.9961006307216	105.857413872149	Phường Minh Khai, Hai Bà Trưng, Hà Nội	Hai Bà Trưng	Hà Nội
Nhà riêng tại đường Đào Tấn	50 m²	9,5 tỷ		3 phòng	3 phòng	Sổ đỏ/ Sổ hồng	21.0325448	105.8089097	Đường Đào Tấn, Phường Kim Mã, Ba Đình, Hà Nội	Ba Đình	Hà Nội
Căn hộ chung cư tại Mailand Hanoi City	88 m²	2,95 tỷ		2 phòng	2 phòng	Sổ đỏ/ Sổ hồng	21.015106201171875	105.72484588623047	Dự án Mailand Hanoi City, Đường Đại lộ Thăng Long, Xã An Khánh, Hoài Đức, Hà Nội	Hoài Đức	Hà Nội
Căn hộ chung cư tại Bình Minh Garden	92 m²	3,2 tỷ		3 phòng	2 phòng	Sổ đỏ/ Sổ hồng	21.0690975189209	105.8880386352539	Dự án Bình Minh Garden, Đường Đức Giang, Phường Đức Giang, Long Biên, Hà Nội	Long Biên	Hà Nội
Nhà riêng tại đường Nguyễn Trãi	20 m²	1,98 tỷ					20.9877606	105.8006384	Ngõ 72, Đường Nguyễn Trãi, Phường Thượng Đình, Thanh Xuân, Hà Nội	Thanh Xuân	Hà Nội
